topic_id,keywords
0,"0.022*""poco"" + 0.020*""ultra"" + 0.016*""iqoo"" + 0.015*""harga"" + 0.013*""juta"" + 0.013*""beli"" + 0.010*""kamera"" + 0.009*""iphone"" + 0.008*""samsung"" + 0.008*""tunggu"""
1,"0.040*""iqoo"" + 0.025*""mending"" + 0.023*"""" + 0.017*""poco"" + 0.014*""harga"" + 0.010*""infinix"" + 0.010*""mahal"" + 0.008*""kamera"" + 0.008*""beli"" + 0.007*""salam"""
2,"0.057*""pro"" + 0.052*""poco"" + 0.034*""beli"" + 0.029*""nonton"" + 0.018*""tim"" + 0.016*""doang"" + 0.015*""review"" + 0.013*""pake"" + 0.012*""ultra"" + 0.008*""alhamdulillah"""
3,"0.095*""iklan"" + 0.027*""xiaomi"" + 0.024*""harga"" + 0.019*""beli"" + 0.017*""poco"" + 0.014*""juta"" + 0.012*""mending"" + 0.008*""pake"" + 0.008*""komen"" + 0.008*""pro"""
4,"0.047*""poco"" + 0.034*""iklan"" + 0.028*""kamera"" + 0.020*""harga"" + 0.014*""flagship"" + 0.012*""xiaomi"" + 0.011*""bagus"" + 0.009*""nggak"" + 0.009*""ultra"" + 0.008*""juta"""
5,"0.024*""beli"" + 0.023*""api"" + 0.023*""kopi"" + 0.023*""kapal"" + 0.021*""review"" + 0.018*""david"" + 0.016*""game"" + 0.010*""coba"" + 0.009*""gua"" + 0.009*""langsung"""
