id,text,clean_text,tokens,tokens_without_stopwords,stemmed_tokens
AH-y26wXgTIAH0OZWQlfRy,soksoan takut iklan padahal youtubeny sendiri banjir iklan😂,soksoan takut iklan padahal youtubeny sendiri banjir iklan,"['soksoan', 'takut', 'iklan', 'padahal', 'youtubeny', 'sendiri', 'banjir', 'iklan']","['soksoan', 'takut', 'iklan', 'youtubeny', 'banjir', 'iklan']","['soksoan', 'takut', 'iklan', 'youtubeny', 'banjir', 'iklan']"
AH-y26wXgTIAH0O_z0_CcR,"itu fitur eksklusif, masa di hilangkan sihh",itu fitur eksklusif masa di hilangkan sihh,"['itu', 'fitur', 'eksklusif', 'masa', 'di', 'hilangkan', 'sihh']","['fitur', 'eksklusif', 'hilangkan', 'sihh']","['fitur', 'eksklusif', 'hilang', 'sihh']"
AH-y26wXgTIAH0OhqZXEhT,Iya mending iphone 16 pro,iya mending iphone pro,"['iya', 'mending', 'iphone', 'pro']","['iya', 'mending', 'iphone', 'pro']","['iya', 'mending', 'iphone', 'pro']"
AH-y26wXgTIAH0P8taU0qR,Bisa d ilangn😊😊,bisa d ilangn,"['bisa', 'd', 'ilangn']",['ilangn'],['ilangn']
AH-y26wXgTIAH0Q0ECnTv5,"​@@FaizPamungkas-u5u4qmangkanya itu, desainnya aja mirip infinix note 12 2023 😅",faizpamungkasuuqmangkanya itu desainnya aja mirip infinix note,"['faizpamungkasuuqmangkanya', 'itu', 'desainnya', 'aja', 'mirip', 'infinix', 'note']","['faizpamungkasuuqmangkanya', 'desainnya', 'infinix', 'note']","['faizpamungkasuuqmangkanya', 'desain', 'infinix', 'note']"
AH-y26wXgTIAH0QDP3v-YI,"Cuma iklan doang jir, bukan yang terlalu nutupin juga. Tapi ya agak keterlaluan sih klo dipasang kelas flagship, tapi menurut gw iklan gituan doang mah ga masalah.",cuma iklan doang jir bukan yang terlalu nutupin juga tapi ya agak keterlaluan sih klo dipasang kelas flagship tapi menurut gw iklan gituan doang mah ga masalah,"['cuma', 'iklan', 'doang', 'jir', 'bukan', 'yang', 'terlalu', 'nutupin', 'juga', 'tapi', 'ya', 'agak', 'keterlaluan', 'sih', 'klo', 'dipasang', 'kelas', 'flagship', 'tapi', 'menurut', 'gw', 'iklan', 'gituan', 'doang', 'mah', 'ga', 'masalah']","['iklan', 'doang', 'jir', 'nutupin', 'klo', 'dipasang', 'kelas', 'flagship', 'iklan', 'gituan', 'doang', 'mah']","['iklan', 'doang', 'jir', 'nutupin', 'klo', 'pasang', 'kelas', 'flagship', 'iklan', 'gituan', 'doang', 'mah']"
AH-y26wXgTIAH0QFSYBuBg,Big no sih gue,big no sih gue,"['big', 'no', 'sih', 'gue']","['big', 'gue']","['big', 'gue']"
AH-y26wXgTIAH0QMFQCsjV,Yah gitulah😅,yah gitulah,"['yah', 'gitulah']","['yah', 'gitulah']","['yah', 'gitulah']"
AH-y26wXgTIAH0QVuDsQKH,"Tinggal dimatiin ribet amat, beli kgk giliran ngeluh paling kenceng",tinggal dimatiin ribet amat beli kgk giliran ngeluh paling kenceng,"['tinggal', 'dimatiin', 'ribet', 'amat', 'beli', 'kgk', 'giliran', 'ngeluh', 'paling', 'kenceng']","['tinggal', 'dimatiin', 'ribet', 'beli', 'kgk', 'giliran', 'ngeluh', 'kenceng']","['tinggal', 'dimatiin', 'ribet', 'beli', 'kgk', 'gilir', 'ngeluh', 'kenceng']"
AH-y26wXgTIAH0QhcNe02x,Pake dns,pake dns,"['pake', 'dns']","['pake', 'dns']","['pake', 'dns']"
